ID,Workclass,Education,Education num,Marital status,Occupation,Relationship,Race,Sex,Age,Work hours per week,Native country,Income
5520,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,32,48,New Zealand,<=85K
5521,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,26,41,New Zealand,<=85K
5522,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,40,New Zealand,>85K
5523,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,27,40,New Zealand,<=85K
5524,Self-emp-inc,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,28,50,New Zealand,>85K
5525,Private,11th,7,Divorced,Sales,Not-in-family,White,Male,32,43,New Zealand,>85K
5526,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,36,55,New Zealand,>85K
5527,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,19,40,New Zealand,<=85K
5528,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,37,80,New Zealand,>85K
5529,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,20,45,New Zealand,<=85K
5530,?,Masters,14,Married-civ-spouse,?,Husband,White,Male,60,40,New Zealand,<=85K
5531,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,32,42,New Zealand,<=85K
5532,Government,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,58,40,New Zealand,<=85K
5533,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,42,50,New Zealand,<=85K
5534,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,20,14,New Zealand,<=85K
5535,Government,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,42,40,New Zealand,<=85K
5536,Private,Some-college,10,Married-spouse-absent,Prof-specialty,Unmarried,Black,Male,25,40,New Zealand,<=85K
5537,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,37,35,New Zealand,>85K
5538,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,66,50,New Zealand,<=85K
5539,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,59,40,England,>85K
5540,Private,Bachelors,13,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,44,40,China,<=85K
5541,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,46,58,New Zealand,>85K
5542,Government,9th,5,Never-married,Other-service,Own-child,Black,Male,17,9,New Zealand,<=85K
5543,Government,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,47,40,New Zealand,<=85K
5544,Government,9th,5,Divorced,Other-service,Not-in-family,White,Female,47,40,New Zealand,<=85K
5545,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,30,40,New Zealand,<=85K
5546,Private,Some-college,10,Never-married,Farming-fishing,Own-child,White,Female,20,40,New Zealand,<=85K
5547,Private,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Black,Male,20,15,New Zealand,<=85K
5548,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,33,40,New Zealand,<=85K
5549,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,40,New Zealand,<=85K
5550,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,37,12,New Zealand,<=85K
5551,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,47,40,New Zealand,<=85K
5552,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,40,New Zealand,>85K
5553,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,48,40,New Zealand,>85K
5554,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,49,42,New Zealand,>85K
5555,Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,50,40,New Zealand,<=85K
5556,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,30,40,New Zealand,<=85K
5557,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,34,40,New Zealand,<=85K
5558,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,40,New Zealand,<=85K
5559,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,22,40,New Zealand,<=85K
5560,Private,HS-grad,9,Separated,Other-service,Not-in-family,Black,Male,35,40,New Zealand,<=85K
5561,Government,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,26,30,New Zealand,<=85K
5562,Government,HS-grad,9,Separated,Protective-serv,Not-in-family,White,Male,39,40,New Zealand,<=85K
5563,Government,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,59,40,New Zealand,<=85K
5564,?,5th-6th,3,Divorced,?,Not-in-family,White,Male,69,40,New Zealand,<=85K
5565,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,27,40,New Zealand,<=85K
5566,Private,10th,6,Never-married,Sales,Own-child,White,Male,17,30,New Zealand,<=85K
5567,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,38,40,New Zealand,<=85K
5568,Private,10th,6,Never-married,Machine-op-inspct,Unmarried,White,Female,27,40,New Zealand,<=85K
5569,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,23,40,New Zealand,<=85K
5570,Private,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,17,24,New Zealand,<=85K
5571,Private,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,56,40,New Zealand,<=85K
5572,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,24,40,New Zealand,<=85K
5573,Private,12th,8,Divorced,Transport-moving,Unmarried,Black,Male,44,40,New Zealand,<=85K
5574,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,23,30,New Zealand,<=85K
5575,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,41,50,?,<=85K
5576,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,25,65,New Zealand,<=85K
5577,Private,Some-college,10,Never-married,Other-service,Other-relative,Black,Female,21,8,New Zealand,<=85K
5578,Private,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,18,6,New Zealand,<=85K
5579,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,45,40,New Zealand,<=85K
5580,Private,7th-8th,4,Married-civ-spouse,Protective-serv,Husband,White,Male,51,40,New Zealand,<=85K
5581,Government,HS-grad,9,Separated,Other-service,Other-relative,Black,Female,42,40,New Zealand,<=85K
5582,Private,Some-college,10,Never-married,Other-service,Not-in-family,Black,Female,47,35,Outlying-US(Guam-USVI-etc),<=85K
5583,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,29,40,New Zealand,<=85K
5584,Private,11th,7,Never-married,Other-service,Not-in-family,Black,Male,33,40,New Zealand,<=85K
5585,Government,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,43,40,New Zealand,<=85K
5586,?,Some-college,10,Never-married,?,Own-child,White,Male,20,16,New Zealand,<=85K
5587,?,Bachelors,13,Never-married,?,Own-child,Black,Female,19,40,Jamaica,<=85K
5588,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,24,30,New Zealand,<=85K
5589,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,19,40,New Zealand,<=85K
5590,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,52,40,New Zealand,<=85K
5591,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,38,52,New Zealand,<=85K
5592,Government,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,24,50,New Zealand,<=85K
5593,Government,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,32,50,New Zealand,<=85K
5594,?,HS-grad,9,Widowed,?,Not-in-family,White,Female,72,8,New Zealand,<=85K
5595,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,26,50,New Zealand,>85K
5596,Private,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,31,40,?,<=85K
5597,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,29,50,New Zealand,<=85K
5598,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,48,50,New Zealand,<=85K
5599,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,45,New Zealand,>85K
5600,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Male,51,45,Scotland,<=85K
5601,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,28,40,New Zealand,<=85K
5602,Private,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,22,20,New Zealand,<=85K
5603,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,23,40,New Zealand,<=85K
5604,Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,65,16,New Zealand,<=85K
5605,Government,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,26,40,New Zealand,<=85K
5606,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,38,10,New Zealand,<=85K
5607,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,33,60,New Zealand,>85K
5608,Government,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,33,60,New Zealand,<=85K
5609,Private,Bachelors,13,Never-married,Sales,Not-in-family,Black,Female,37,40,New Zealand,<=85K
5610,Private,11th,7,Never-married,Machine-op-inspct,Own-child,White,Male,19,60,New Zealand,<=85K
5611,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,24,50,New Zealand,<=85K
5612,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,30,45,New Zealand,<=85K
5613,Government,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,57,50,New Zealand,<=85K
5614,Government,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,22,20,New Zealand,<=85K
5615,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,57,40,New Zealand,>85K
5616,Government,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,46,40,New Zealand,<=85K
5617,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,67,35,New Zealand,<=85K
5618,?,HS-grad,9,Never-married,?,Unmarried,Black,Female,35,40,New Zealand,<=85K
5619,Private,HS-grad,9,Separated,Craft-repair,Own-child,White,Male,47,40,New Zealand,<=85K
5620,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,39,40,New Zealand,<=85K
5621,Private,Some-college,10,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Male,50,40,Philippines,<=85K
5622,Self-emp-not-inc,12th,8,Divorced,Sales,Not-in-family,White,Female,58,52,New Zealand,<=85K
5623,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,30,New Zealand,>85K
5624,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,36,England,>85K
5625,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,54,40,New Zealand,>85K
5626,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,26,30,New Zealand,<=85K
5627,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,40,New Zealand,>85K
5628,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,26,35,New Zealand,<=85K
5629,Private,11th,7,Never-married,Craft-repair,Other-relative,White,Male,32,40,New Zealand,<=85K
5630,Government,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,38,40,New Zealand,<=85K
5631,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,48,70,New Zealand,>85K
5632,Private,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,37,40,Philippines,<=85K
5633,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,44,40,New Zealand,<=85K
5634,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Other,Female,31,35,New Zealand,<=85K
5635,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,61,35,New Zealand,>85K
5636,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,51,40,New Zealand,<=85K
5637,?,Assoc-acdm,12,Married-civ-spouse,?,Wife,Black,Female,36,21,Haiti,<=85K
5638,Government,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,67,24,New Zealand,<=85K
5639,Government,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,40,New Zealand,>85K
5640,Private,5th-6th,3,Never-married,Farming-fishing,Not-in-family,White,Male,27,35,Mexico,<=85K
5641,Private,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,37,40,Mexico,<=85K
5642,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,57,50,New Zealand,>85K
5643,Private,10th,6,Divorced,Other-service,Not-in-family,White,Female,27,40,New Zealand,<=85K
5644,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,34,60,New Zealand,>85K
5645,Private,HS-grad,9,Divorced,Other-service,Other-relative,Black,Female,52,38,New Zealand,<=85K
5646,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,45,New Zealand,>85K
5647,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,55,10,New Zealand,<=85K
5648,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,71,20,New Zealand,>85K
5649,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,33,40,New Zealand,<=85K
5650,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,30,40,New Zealand,<=85K
5651,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,55,New Zealand,>85K
5652,Private,10th,6,Divorced,Adm-clerical,Not-in-family,Black,Female,59,40,New Zealand,<=85K
5653,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,19,20,New Zealand,<=85K
5654,Self-emp-not-inc,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,36,30,New Zealand,<=85K
5655,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Own-child,White,Male,26,40,New Zealand,<=85K
5656,Government,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,34,40,New Zealand,<=85K
5657,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,41,40,New Zealand,>85K
5658,?,HS-grad,9,Separated,?,Unmarried,White,Female,26,40,New Zealand,<=85K
5659,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,47,48,New Zealand,<=85K
5660,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,18,16,New Zealand,<=85K
5661,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,55,18,New Zealand,<=85K
5662,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,44,40,New Zealand,>85K
5663,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,43,40,New Zealand,<=85K
5664,Private,7th-8th,4,Married-civ-spouse,Protective-serv,Husband,White,Male,62,40,Cuba,<=85K
5665,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,44,40,New Zealand,<=85K
5666,?,HS-grad,9,Divorced,?,Unmarried,White,Female,39,40,New Zealand,<=85K
5667,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,60,New Zealand,>85K
5668,Private,11th,7,Never-married,Sales,Not-in-family,White,Male,35,45,New Zealand,<=85K
5669,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,52,40,New Zealand,<=85K
5670,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,46,60,New Zealand,>85K
5671,Private,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Male,43,50,New Zealand,<=85K
5672,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,20,20,New Zealand,<=85K
5673,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,47,40,Italy,>85K
5674,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,43,50,New Zealand,<=85K
5675,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,64,40,?,>85K
5676,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,24,40,New Zealand,<=85K
5677,Government,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,27,50,New Zealand,<=85K
5678,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,32,40,New Zealand,<=85K
5679,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,37,12,New Zealand,<=85K
5680,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,26,60,New Zealand,<=85K
5681,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,50,40,New Zealand,<=85K
5682,Self-emp-not-inc,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,20,80,New Zealand,<=85K
5683,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,43,45,New Zealand,<=85K
5684,Private,9th,5,Divorced,Other-service,Not-in-family,White,Female,53,36,Canada,<=85K
5685,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,40,New Zealand,>85K
5686,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,25,40,New Zealand,<=85K
5687,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,19,50,New Zealand,<=85K
5688,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,44,50,New Zealand,<=85K
5689,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,49,43,New Zealand,<=85K
5690,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,35,40,New Zealand,<=85K
5691,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,44,45,New Zealand,<=85K
5692,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,54,60,New Zealand,<=85K
5693,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,37,35,New Zealand,<=85K
5694,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,18,15,New Zealand,<=85K
5695,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,24,40,New Zealand,<=85K
5696,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,29,50,New Zealand,<=85K
5697,?,Some-college,10,Divorced,?,Not-in-family,White,Female,22,35,New Zealand,<=85K
5698,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,35,40,New Zealand,<=85K
5699,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,56,48,New Zealand,>85K
5700,?,7th-8th,4,Widowed,?,Not-in-family,White,Female,32,40,New Zealand,<=85K
5701,Private,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,24,45,China,<=85K
5702,Private,HS-grad,9,Widowed,Sales,Other-relative,White,Female,73,15,New Zealand,<=85K
5703,Government,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,47,40,?,<=85K
5704,Private,12th,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,49,39,New Zealand,<=85K
5705,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,38,40,New Zealand,>85K
5706,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,31,40,New Zealand,<=85K
5707,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,39,40,New Zealand,<=85K
5708,Private,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,42,40,New Zealand,<=85K
5709,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,41,45,China,>85K
5710,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,35,45,New Zealand,>85K
5711,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,38,45,New Zealand,<=85K
5712,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,31,40,New Zealand,<=85K
5713,Government,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,51,70,New Zealand,<=85K
5714,Private,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,38,48,New Zealand,>85K
5715,Government,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,42,New Zealand,>85K
5716,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,21,30,New Zealand,<=85K
5717,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,44,40,New Zealand,<=85K
5718,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,55,40,New Zealand,>85K
5719,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,29,45,New Zealand,<=85K
5720,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,49,50,New Zealand,>85K
5721,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,31,42,New Zealand,<=85K
5722,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,46,40,New Zealand,<=85K
5723,Private,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,26,40,New Zealand,<=85K
5724,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,35,38,New Zealand,<=85K
5725,Private,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,27,50,New Zealand,<=85K
5726,Private,Bachelors,13,Never-married,Craft-repair,Other-relative,White,Male,26,40,New Zealand,<=85K
5727,Private,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,45,45,?,>85K
5728,Government,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,57,72,New Zealand,<=85K
5729,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,30,40,New Zealand,>85K
5730,Private,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,45,32,New Zealand,<=85K
5731,Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Female,50,30,New Zealand,<=85K
5732,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,38,40,New Zealand,<=85K
5733,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,43,60,New Zealand,<=85K
5734,Private,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,42,55,New Zealand,<=85K
5735,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,32,40,New Zealand,<=85K
5736,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,20,40,New Zealand,<=85K
5737,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,27,35,New Zealand,<=85K
5738,Private,11th,7,Widowed,Adm-clerical,Unmarried,White,Female,45,40,New Zealand,<=85K
5739,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,40,New Zealand,<=85K
5740,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,38,60,New Zealand,<=85K
5741,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,37,40,New Zealand,<=85K
5742,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,60,40,New Zealand,<=85K
5743,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,53,45,New Zealand,>85K
5744,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Female,25,40,New Zealand,<=85K
5745,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,47,60,Japan,<=85K
5746,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,40,70,New Zealand,<=85K
5747,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,51,40,New Zealand,<=85K
5748,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,19,10,New Zealand,<=85K
5749,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,42,50,New Zealand,>85K
5750,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,65,40,New Zealand,<=85K
5751,Private,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,41,40,New Zealand,<=85K
5752,Private,10th,6,Never-married,Machine-op-inspct,Own-child,Black,Male,28,45,New Zealand,<=85K
5753,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,24,40,New Zealand,<=85K
5754,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,32,40,New Zealand,<=85K
5755,Private,HS-grad,9,Married-spouse-absent,Protective-serv,Not-in-family,White,Male,29,40,New Zealand,<=85K
5756,?,10th,6,Never-married,?,Own-child,White,Female,17,20,New Zealand,<=85K
5757,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,49,40,New Zealand,>85K
5758,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,31,40,New Zealand,<=85K
5759,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,23,40,New Zealand,<=85K
5760,?,10th,6,Never-married,?,Own-child,White,Male,17,30,New Zealand,<=85K
5761,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,37,40,New Zealand,<=85K
5762,Private,10th,6,Never-married,Other-service,Own-child,White,Male,29,40,New Zealand,<=85K
5763,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,39,50,New Zealand,>85K
5764,Government,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,35,New Zealand,>85K
5765,Private,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,40,40,New Zealand,<=85K
5766,Private,5th-6th,3,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Female,66,40,Puerto-Rico,<=85K
5767,Government,9th,5,Married-civ-spouse,Tech-support,Husband,White,Male,30,40,New Zealand,<=85K
5768,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,43,40,New Zealand,<=85K
5769,Private,9th,5,Never-married,Other-service,Unmarried,White,Female,47,50,New Zealand,<=85K
5770,Private,Masters,14,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,45,40,Philippines,<=85K
5771,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,31,40,Trinadad&Tobago,<=85K
5772,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,32,40,New Zealand,<=85K
5773,Private,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,28,40,New Zealand,<=85K
5774,Government,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,40,New Zealand,>85K
5775,Private,7th-8th,4,Divorced,Sales,Not-in-family,White,Female,63,40,New Zealand,<=85K
5776,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,28,40,New Zealand,<=85K
5777,Private,Some-college,10,Widowed,Adm-clerical,Unmarried,Black,Female,38,40,New Zealand,<=85K
5778,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,52,38,New Zealand,<=85K
